parent_directory,is_file,name,size_in_bytes
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,True,__init__.py,573
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,False,cli,87806
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,False,commands,119848
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,False,distributions,10466
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,False,index,60686
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,False,locations,34294
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,False,metadata,59552
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,False,models,45927
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,False,network,52426
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,False,operations,87624
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,False,req,99567
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,False,resolution,111906
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,False,utils,118977
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal,False,vcs,62007
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal\cli,True,autocompletion.py,6676
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal\cli,True,base_command.py,7842
C:\Users\ÿ\Desktop\python_home_work\venv\Lib\site-packages\pip\_internal\cli,True,cmdoptions.py,29381
